"imageUrls","title","address","website","phone","totalScore","rank","reviewsCount","isAdvertisement","categoryName","searchString","url"
,"Garfield Park","2345 Pagoda Dr, Indianapolis, IN 46203","http://funfinder.indy.gov/#/details/134","(317) 327-7220","4.6","22","3100","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Garfield+Park/@39.7343138,-86.1484095,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5a6812c3e5c5:0xad48993135bedd18!8m2!3d39.7343138!4d-86.1484095?hl=en"
,"Indiana Historical Society","450 W Ohio St, Indianapolis, IN 46202","http://www.indianahistory.org/","(317) 232-1882","4.7","21","842","false","Historical society","tourist attractions in indianapolis","https://www.google.com/maps/place/Indiana+Historical+Society/@39.7702346,-86.1655414,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b741ca9237:0x74399d95bbd67bef!8m2!3d39.7702346!4d-86.1655414?hl=en"
,"USS Indianapolis National Memorial","Canal Walk, Indianapolis, IN 46202",,,"4.7","20","388","false","Memorial park","tourist attractions in indianapolis","https://www.google.com/maps/place/USS+Indianapolis+National+Memorial/@39.7770718,-86.164702,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50c62951d6f5:0x5c33c6ee25081200!8m2!3d39.7770718!4d-86.164702?hl=en"
,"Central Canal","Canal Walk, Indianapolis, IN 46204",,,"4.6","19","36","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Central+Canal/@39.7693459,-86.1662996,17z/data=!3m1!4b1!4m5!3m4!1s0x886b510105fa39f7:0x51e87a45fa94e655!8m2!3d39.7693459!4d-86.1662996?hl=en"
,"Central Canal","Indianapolis, IN 46204",,,"4.8","18","197","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Central+Canal/@39.7674579,-86.1704647,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b3bc3a9733:0xeeaa3ada19d70d0e!8m2!3d39.7674579!4d-86.1704647?hl=en"
,"Indianapolis Canal Walk","Canal Walk, Indianapolis, IN 46202","https://www.whiteriverstatepark.org/","(317) 237-2222","4.7","17","2288","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Indianapolis+Canal+Walk/@39.7752036,-86.165168,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50c80bcb109b:0xf1dbdc0adaa35cb7!8m2!3d39.7752036!4d-86.165168?hl=en"
,"Indiana Medical History Museum","3270 Kirkbride Way, Indianapolis, IN 46222","http://www.imhm.org/","(317) 635-7329","4.7","15","395","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Indiana+Medical+History+Museum/@39.7698762,-86.2132931,17z/data=!3m1!4b1!4m5!3m4!1s0x886b577397f43857:0x378def923c458048!8m2!3d39.7698762!4d-86.2132931?hl=en"
,"Catacombs","222 E Market St, Indianapolis, IN 46204","https://www.indianalandmarks.org/tours-events/ongoing-tours-events/city-market-catacombs-tour/","(317) 639-4534","3.8","14","79","false","Ruin","tourist attractions in indianapolis","https://www.google.com/maps/place/Catacombs/@39.7687329,-86.1534198,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5095de4ccd7f:0xd5b51f02c6a24bef!8m2!3d39.7687329!4d-86.1534198?hl=en"
,"Oldfields–Lilly House & Gardens","4000 N Michigan Rd, Indianapolis, IN 46208","http://www.imamuseum.org/visit/oldfields-lilly-house-gardens/lilly-house","(317) 923-1331","4.8","13","534","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Oldfields%E2%80%93Lilly+House+%26+Gardens/@39.8283758,-86.1854796,17z/data=!3m1!4b1!4m5!3m4!1s0x886b56a57da5704f:0xa237a16df21b929c!8m2!3d39.8283758!4d-86.1854796?hl=en"
,"Newfields","4000 N Michigan Rd, Indianapolis, IN 46208","https://www.discovernewfields.org/","(317) 923-1331","4.7","12","4708","false","Art museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Newfields/@39.8259606,-86.1856632,17z/data=!3m1!4b1!4m5!3m4!1s0x886b56ae51fbcabd:0xd8a3fd923ddf98ea!8m2!3d39.8259606!4d-86.1856632?hl=en"
,"Soldiers & Sailors Monument","1 Monument Cir, Indianapolis, IN 46204","http://www.in.gov/iwm","(317) 232-7615","4.7","11","8029","false","Monument","tourist attractions in indianapolis","https://www.google.com/maps/place/Soldiers+%26+Sailors+Monument/@39.7685459,-86.1580437,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50bc261a1291:0x4efb96966bb31be9!8m2!3d39.7685426!4d-86.1580439?hl=en"
,"Indianapolis Motor Speedway Museum","4750 W 16th St, Indianapolis, IN 46222","https://www.imsmuseum.org/","(317) 492-6784","4.8","10","2998","false","Heritage museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Indianapolis+Motor+Speedway+Museum/@39.7903146,-86.2336611,17z/data=!3m1!4b1!4m5!3m4!1s0x886b57b65f433f97:0x44dc8a3673e3ab00!8m2!3d39.7903146!4d-86.2336611?hl=en"
,"Eagle Creek Park","7840 W 56th St, Indianapolis, IN 46254","https://www.indy.gov/activity/about-eagle-creek-park","(317) 327-7110","4.7","9","4726","false","City park","tourist attractions in indianapolis","https://www.google.com/maps/place/Eagle+Creek+Park/@39.873789,-86.296203,17z/data=!3m1!4b1!4m5!3m4!1s0x886caba640774c91:0x6b111ce66c64dd11!8m2!3d39.873789!4d-86.296203?hl=en"
,"Benjamin Harrison Presidential Site","1230 N Delaware St, Indianapolis, IN 46202","http://www.presidentbenjaminharrison.org/","(317) 631-1888","4.7","8","398","false","Historical place museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Benjamin+Harrison+Presidential+Site/@39.784072,-86.154487,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50e807518f85:0x4a06f038da394b37!8m2!3d39.7840704!4d-86.1545781?hl=en"
,"Indiana War Memorial & Museum","55 E Michigan St, Indianapolis, IN 46204","https://www.indianawarmemorials.org/","(317) 232-7615","4.7","7","2371","false","Historical landmark","tourist attractions in indianapolis","https://www.google.com/maps/place/Indiana+War+Memorial+%26+Museum/@39.7733607,-86.1569508,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50bf84f053a9:0xa45f1d2e66420530!8m2!3d39.7733607!4d-86.1569508?hl=en"
,"Rhythm! Discovery Center","Claypool Court Building, 110 W Washington St A, Indianapolis, IN 46204","http://rhythmdiscoverycenter.org/","(317) 275-9030","4.7","6","284","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Rhythm!+Discovery+Center/@39.767311,-86.1600743,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50bb8e098813:0x7362c4c5f00adea1!8m2!3d39.767311!4d-86.1600743?hl=en"
,"Indiana State Museum","650 W Washington St, Indianapolis, IN 46204","http://www.indianamuseum.org/","(317) 232-1637","4.6","5","3338","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Indiana+State+Museum/@39.7683919,-86.1695013,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b111623237:0x6b881c9883451590!8m2!3d39.7683919!4d-86.1695013?hl=en"
,"Eiteljorg Museum","500 W Washington St, Indianapolis, IN 46204","http://www.eiteljorg.org/","(317) 636-9378","4.6","4","1658","false","Art museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Eiteljorg+Museum/@39.7685754,-86.1677915,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b0e2486d47:0x9a0cc030233deea8!8m2!3d39.7685754!4d-86.1677915?hl=en"
,"The Children's Museum of Indianapolis","3000 N Meridian St, Indianapolis, IN 46208","https://www.childrensmuseum.org/","(317) 334-4000","4.7","3","13120","false","Children's museum","tourist attractions in indianapolis","https://www.google.com/maps/place/The+Children's+Museum+of+Indianapolis/@39.8106132,-86.1578917,17z/data=!3m1!4b1!4m5!3m4!1s0x886b513e951d95f3:0xb9504ec89278716a!8m2!3d39.8106132!4d-86.1578917?hl=en"
,"Holliday Park","6363 Spring Mill Rd, Indianapolis, IN 46260","https://www.hollidaypark.org/","(317) 327-7180","4.8","16","3041","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Holliday+Park/@39.8708933,-86.1634943,17z/data=!3m1!4b1!4m5!3m4!1s0x886b539bf1fa5401:0x276b79e279cf5483!8m2!3d39.8708933!4d-86.1634943?hl=en"
